goal,target
Lacks dramatic punch and depth.,negative
It's definitely a step in the right direction.,positive
The premise of Jason X is silly but strangely believable.,positive
The best part about ``Gangs'' was Daniel Day-Lewis.,positive
Worth a look as a curiosity.,positive
"The performances are immaculate, with Roussillon providing comic relief.",positive
Noyce has worked wonders with the material.,positive
"As it turns out, you can go home again.",positive
A loquacious and dreary piece of business.,negative
Leaks treacle from every pore.,negative
The problem with all of this: It's not really funny.,negative
Very predictable but still entertaining,positive
Fluffy neo-noir hiding behind cutesy film references.,negative
A delightful entree in the tradition of food movies.,positive
Delivers roughly equal amounts of beautiful movement and inside information.,positive
"Tells a fascinating, compelling story.",positive
The first Bond movie in ages that isn't fake fun.,positive
A well-put-together piece of urban satire.,positive
Exhilarating but blatantly biased.,positive
"It's funny, as the old saying goes, because it's true.",positive
"Complex, sinuously plotted and, somehow, off-puttingly cold.",negative
Below is well below expectations.,negative
A wildly entertaining scan of Evans' career.,positive
A prolonged extrusion of psychopathic pulp.,negative
Nettelbeck ... has a pleasing way with a metaphor.,positive
"Definitely a crowd-pleaser, but then, so was the Roman Colosseum.",positive
An imponderably stilted and self-consciously arty movie.,negative
A minor-league soccer remake of The Longest Yard.,negative
Aan opportunity wasted.,negative
Eight Legged Freaks falls flat as a spoof.,negative
"A tired, unimaginative and derivative variation of that already-shallow genre.",negative
"Awesome work: ineffable, elusive, yet inexplicably powerful",positive
This thing is just garbage.,negative
"A taut, sobering film.",positive
"The problem, amazingly enough, is the screenplay.",negative
May puzzle his most ardent fans.,negative
Comes across as a fairly weak retooling.,negative
A fairly harmless but ultimately lifeless feature-length afterschool special.,negative
"A moving essay about the specter of death, especially suicide.",positive
"It's an exhilarating place to visit, this laboratory of laughter.",positive
"Sensual, funny and, in the end, very touching.",positive
more precious than perspicacious,positive
"The jokes are flat, and the action looks fake.",negative
Drumline ably captures the complicated relationships in a marching band.,positive
Execrable.,negative
Delirious fun.,positive
A low-rent retread of the Alien pictures.,negative
Great over-the-top moviemaking if you're in a slap-happy mood.,positive
"Elegant, mannered and teasing.",positive
A bodice-ripper for intellectuals.,positive
Even the hastily and amateurishly drawn animation cannot engage.,negative
The film is strictly routine.,negative
Meticulously uncovers a trail of outrageous force and craven concealment.,positive
Rashomon-for-dipsticks tale.,negative
Inconsequential road-and-buddy pic.,negative
Good-naturedly cornball sequel.,positive
Nicole Kidman makes it a party worth attending.,positive
It's just plain lurid when it isn't downright silly.,negative
Gooding offers a desperately ingratiating performance.,negative
"I found it slow, predictable and not very amusing.",negative
"Exhilarating, funny and fun.",positive
A relative letdown.,negative
"A solid, psychological action film from Hong Kong.",positive
"A timid, soggy near miss.",negative
Cusack's just brilliant in this.,positive
Fulford-Wierzbicki ... deftly captures the wise-beyond-her-years teen.,positive
"A dark, quirky road movie that constantly defies expectation.",positive
Runs on the pure adrenalin of Pacino's performance.,positive
Much of the cast is stiff or just plain bad.,negative
Remarkable for its intelligence and intensity.,positive
It is definitely worth seeing.,positive
The film is one of the year's best.,positive
There's more repetition than creativity throughout the movie.,negative
A genuinely moving and wisely unsentimental drama.,positive
The entire movie establishes a wonderfully creepy mood.,positive
Wishy-washy.,negative
"...an hour-and-a-half of inoffensive, unmemorable filler.",negative
A feeble Tootsie knockoff.,negative
Extremely bad.,negative
Black-and-white and unrealistic.,negative
Both damning and damned compelling.,positive
"Violent, vulgar and forgettably entertaining.",negative
"Sunk by way too much indulgence of scene-chewing, teeth-gnashing actorliness.",negative
... wise and elegiac ...,positive
Humor in I Spy is so anemic.,negative
The satire is just too easy to be genuinely satisfying.,negative
Feels strangely hollow at its emotional core.,negative
A brutally dry satire of Middle American numbness.,negative
Glazed with a tawdry B-movie scum.,negative
Very well-written and very well-acted.,positive
It's quite diverting nonsense.,negative
Just too silly and sophomoric to ensnare its target audience.,negative
There is greatness here.,positive
The Pool drowned me in boredom.,negative
"Uplifting, funny and wise.",positive
The fetid underbelly of fame has never looked uglier.,negative
"Boisterous, heartfelt comedy.",positive
Aggravating and tedious.,negative
We've liked Klein's other work but Rollerball left us cold.,negative
Incoherence reigns.,negative
